,0,1,2,3,4,5,6
0,53.0,43103.0,0,2,0,64,0
1,53.0,49320.0,0,1,0,32,0
2,43103.0,53.0,0,2,0,80,0
3,49320.0,53.0,0,1,0,48,0
4,443.0,48285.0,0,14,0,2386,8364
5,48285.0,443.0,0,13,0,1509,7538
6,53.0,60648.0,0,2,0,62,0
7,60648.0,53.0,0,2,0,78,0
8,443.0,48599.0,0,210,0,8122,7549
9,53.0,56919.0,0,2,0,74,0
10,53.0,53635.0,0,1,0,37,0
11,56919.0,53.0,0,2,0,90,0
12,53635.0,53.0,0,1,0,53,0
13,53.0,59867.0,0,2,0,72,0
14,59867.0,53.0,0,2,0,88,0
15,443.0,50328.0,0,13,0,1297,1870
16,50328.0,443.0,0,12,0,4825,765
17,53.0,47164.0,0,2,0,66,0
18,443.0,48014.0,0,48,0,1838,2594
19,53.0,37565.0,0,1,0,33,0
20,48014.0,443.0,0,59,0,50910,1215
21,47164.0,53.0,0,2,0,82,0
22,37565.0,53.0,0,1,0,49,0
23,53.0,54981.0,0,2,0,66,0
24,443.0,47992.0,0,7,0,669,1406
25,53.0,59284.0,0,1,0,33,0
26,47992.0,443.0,0,6,0,270,624
27,54981.0,53.0,0,2,0,82,0
28,59284.0,53.0,0,1,0,49,0
29,41371.0,80.0,0,5,0,746,166
30,80.0,41371.0,0,7,0,444,0
31,53.0,56474.0,0,2,0,66,0
32,56474.0,53.0,0,2,0,82,0
33,80.0,57443.0,0,6,0,300,0
34,57443.0,80.0,0,4,0,111,0
35,53.0,48084.0,0,2,0,74,0
36,48084.0,53.0,0,2,0,90,0
37,53.0,52329.0,0,2,0,84,0
38,53.0,56043.0,0,2,0,84,0
39,52329.0,53.0,0,2,0,100,0
40,80.0,54256.0,0,37,0,304,0
41,54256.0,80.0,0,39,0,36929,809
42,56043.0,53.0,0,2,0,100,0
43,53.0,51495.0,0,2,0,72,0
44,51495.0,53.0,0,2,0,88,0
45,53.0,34878.0,0,1,0,37,0
46,34878.0,53.0,0,1,0,53,0
47,80.0,48659.0,0,6,0,448,0
48,48659.0,80.0,0,6,0,859,20
49,80.0,54265.0,0,6,0,678,0
50,54265.0,80.0,0,6,0,1443,128
51,443.0,51678.0,0,17,0,973,2643
52,51678.0,443.0,0,17,0,7133,4146
53,53.0,36226.0,0,2,0,82,0
54,53.0,36626.0,0,2,0,82,0
55,53.0,34220.0,0,2,0,94,0
56,53.0,50182.0,0,2,0,86,0
57,53.0,59378.0,0,1,0,42,0
58,36626.0,53.0,0,2,0,98,0
59,53.0,58893.0,0,2,0,82,0
60,34220.0,53.0,0,2,0,110,0
61,36226.0,53.0,0,2,0,98,0
62,59378.0,53.0,0,1,0,58,0
63,50182.0,53.0,0,2,0,102,0
64,58893.0,53.0,0,2,0,98,0
65,53.0,36839.0,0,2,0,92,0
66,36839.0,53.0,0,2,0,108,0
67,53.0,44690.0,0,2,0,92,0
68,53.0,46674.0,0,2,0,94,0
69,44690.0,53.0,0,2,0,108,0
70,46674.0,53.0,0,2,0,110,0
71,443.0,51681.0,0,8,0,1223,855
72,51681.0,443.0,0,8,0,1746,1931
73,53.0,41576.0,0,2,0,86,0
74,53.0,58618.0,0,2,0,96,0
75,41576.0,53.0,0,2,0,102,0
76,58618.0,53.0,0,2,0,112,0
77,53.0,59763.0,0,2,0,76,0
78,43115.0,443.0,0,11,0,5490,761
79,59763.0,53.0,0,2,0,92,0
80,53.0,51136.0,0,2,0,158,0
81,51136.0,53.0,0,2,0,174,0
82,80.0,45242.0,0,163,0,6597,9252
83,45242.0,80.0,0,4,0,30693,1863
84,53.0,53432.0,0,1,0,42,0
85,53.0,41523.0,0,2,0,68,0
86,53.0,51748.0,0,2,0,78,0
87,53432.0,53.0,0,1,0,58,0
88,41523.0,53.0,0,2,0,84,0
89,51748.0,53.0,0,2,0,94,0
90,53.0,44554.0,0,2,0,70,0
91,53.0,54267.0,0,1,0,35,0
92,44554.0,53.0,0,2,0,86,0
93,54267.0,53.0,0,1,0,51,0
94,53.0,53299.0,0,2,0,94,0
95,443.0,52604.0,0,51,0,7529,3159
96,52604.0,443.0,0,64,0,46686,2381
97,53299.0,53.0,0,2,0,110,0
98,45245.0,80.0,0,67,0,52341,11017
99,443.0,56700.0,0,31,0,902,1724
100,56700.0,443.0,0,41,0,38903,1876
101,45241.0,80.0,0,96,0,20436,9919
102,53.0,60374.0,0,2,0,90,0
103,60374.0,53.0,0,2,0,106,0
104,443.0,58430.0,0,88,0,3097,3366
105,58430.0,443.0,0,133,0,61325,1786
106,53.0,41306.0,0,4,0,132,417
107,41306.0,53.0,0,4,0,132,290
108,53.0,34552.0,0,4,0,132,442
109,34552.0,53.0,0,4,0,132,365
110,53.0,58895.0,0,4,0,132,295
111,58895.0,53.0,0,4,0,132,325
112,53.0,56402.0,0,2,0,78,0
113,53.0,52884.0,0,2,0,78,0
114,56402.0,53.0,0,2,0,94,127
115,53.0,36590.0,0,4,0,132,385
116,52884.0,53.0,0,2,0,94,0
