,0,1,2,3,4,5,6
0,443.0,33650.0,0,35,0,5965,9164
1,33650.0,443.0,0,35,0,13971,9382
2,34010.0,443.0,0,2,0,597,0
3,443.0,34010.0,0,1,0,1157,0
4,34010.0,443.0,0,24,0,7000,8136
5,443.0,34010.0,0,24,0,9256,8087
6,443.0,33650.0,0,34,0,5628,19800
7,33650.0,443.0,0,34,0,9741,20203
8,33798.0,443.0,0,4,0,53,0
9,33805.0,443.0,0,4,0,53,0
10,34010.0,443.0,0,9,0,2639,1591
11,443.0,34010.0,0,9,0,3471,1522
12,443.0,33799.0,0,4,0,421,0
13,33799.0,443.0,0,4,0,2741,4
14,53.0,51268.0,0,1,0,41,0
15,443.0,33801.0,0,3,0,421,0
16,443.0,33797.0,0,7,0,842,3580
17,33801.0,443.0,0,3,0,1829,2
18,33797.0,443.0,0,7,0,3978,3859
19,443.0,33796.0,0,13,0,842,3579
20,443.0,33807.0,0,24,0,1748,3069
21,33796.0,443.0,0,13,0,9898,3603
22,33807.0,443.0,0,26,0,19060,3092
23,443.0,33806.0,0,31,0,874,2655
24,443.0,33804.0,0,5,0,874,2654
25,33806.0,443.0,0,31,0,28415,2657
26,443.0,33809.0,0,10,0,1311,3074
27,33804.0,443.0,0,5,0,3466,1301
28,33809.0,443.0,0,10,0,5663,1538
29,51268.0,53.0,0,1,0,57,0
30,443.0,50199.0,0,12,0,755,2555
31,50199.0,443.0,0,12,0,6055,1061
32,56005.0,443.0,0,3,0,69,0
33,443.0,39920.0,0,6,0,996,681
34,39920.0,443.0,0,6,0,356,85
35,443.0,33650.0,0,56,0,11856,31487
36,33650.0,443.0,0,56,0,22650,28991
37,443.0,33802.0,0,19,0,1748,5909
38,33802.0,443.0,0,20,0,12964,4631
39,34010.0,443.0,0,6,0,2346,788
40,443.0,34010.0,0,6,0,2314,712
41,34010.0,443.0,0,15,0,4985,5817
42,443.0,34010.0,0,15,0,5785,5755
43,33650.0,443.0,0,32,0,10072,28146
44,443.0,33650.0,0,32,0,7485,21569
45,33800.0,443.0,0,3,0,53,0
46,34010.0,443.0,0,57,0,19316,30454
47,443.0,34010.0,0,55,0,22031,29535
48,443.0,33650.0,0,106,0,21316,29199
49,33650.0,443.0,0,103,0,32758,22193
50,443.0,34010.0,0,82,0,32844,29929
51,34010.0,443.0,0,81,0,25580,28286
52,33650.0,443.0,0,73,0,23749,30062
53,443.0,33650.0,0,73,0,15496,28222
54,34010.0,443.0,0,31,0,10162,12423
55,443.0,34010.0,0,31,0,11730,12373
56,443.0,33650.0,0,63,0,15641,16711
57,33650.0,443.0,0,63,0,17831,30258
58,34010.0,443.0,0,64,0,22158,29952
59,443.0,34010.0,0,64,0,24617,29954
60,443.0,33650.0,0,83,0,16770,34386
61,33650.0,443.0,0,82,0,26521,28739
62,34010.0,443.0,0,63,0,20691,28068
63,443.0,34010.0,0,62,0,24601,28011
64,33650.0,443.0,0,111,0,34278,16038
65,443.0,33650.0,0,111,0,20495,22617
66,34010.0,443.0,0,38,0,11457,28012
67,443.0,34010.0,0,38,0,15249,27957
68,443.0,33650.0,0,8,0,2127,0
69,33650.0,443.0,0,8,0,2025,365
70,39920.0,443.0,0,3,0,69,0
71,5228.0,34927.0,0,2,0,53,0
72,34927.0,5228.0,0,2,0,53,0
73,443.0,33650.0,0,7,0,815,0
74,33650.0,443.0,0,7,0,2025,408
75,33799.0,443.0,0,4,0,53,0
76,443.0,34010.0,0,25,0,9384,24205
77,34010.0,443.0,0,26,0,6829,24983
78,33806.0,443.0,0,4,0,53,0
79,443.0,34010.0,0,10,0,4692,3547
80,34010.0,443.0,0,10,0,2799,2058
81,53.0,40520.0,0,1,0,41,0
82,40520.0,53.0,0,1,0,57,0
83,443.0,39505.0,0,27,0,13732,1210
84,39505.0,443.0,0,27,0,6857,836
85,53.0,37850.0,0,1,0,47,0
86,37850.0,53.0,0,1,0,63,0
87,443.0,45094.0,0,27,0,2111,2362
88,45094.0,443.0,0,28,0,9193,2016
89,443.0,33650.0,0,54,0,11903,30186
90,33650.0,443.0,0,53,0,15220,26912
91,33650.0,443.0,0,10,0,3853,408
92,443.0,33650.0,0,9,0,650,0
93,34010.0,443.0,0,18,0,5150,28165
94,443.0,34010.0,0,18,0,7038,28120
95,443.0,33650.0,0,30,0,5175,6079
96,33650.0,443.0,0,30,0,9305,6461
97,34010.0,443.0,0,10,0,3284,3326
98,443.0,34010.0,0,8,0,4692,3319
99,56691.0,443.0,0,3,0,53,0
100,443.0,59684.0,0,25,0,5362,11966
101,59684.0,443.0,0,25,0,8937,11955
102,443.0,34073.0,0,7,0,372,494
103,34073.0,443.0,0,7,0,292,192
104,56714.0,443.0,0,4,0,53,0
105,56716.0,443.0,0,4,0,53,0
106,56690.0,443.0,0,3,0,53,0
107,56717.0,443.0,0,3,0,53,0
108,443.0,59684.0,0,15,0,2649,4279
109,59684.0,443.0,0,15,0,4455,4652
110,53.0,24069.0,0,1,0,37,0
111,24069.0,53.0,0,1,0,53,0
112,443.0,34116.0,0,18,0,2786,3098
113,34116.0,443.0,0,19,0,5694,2717
114,53.0,36194.0,0,1,0,33,0
115,36194.0,53.0,0,1,0,49,0
116,80.0,60423.0,0,5,0,280,0
117,60423.0,80.0,0,4,0,2447,0
118,443.0,37994.0,0,6,0,6793,3998
119,443.0,59684.0,0,10,0,1380,8579
120,59684.0,443.0,0,10,0,2696,8692
121,34115.0,443.0,0,4,0,154,0
122,443.0,59684.0,0,5,0,826,41566
123,59684.0,443.0,0,5,0,570,206
124,443.0,59684.0,0,11,0,1460,50136
125,59684.0,443.0,0,11,0,3373,49918
126,59684.0,443.0,0,1,0,69,0
127,34073.0,443.0,0,4,0,154,0
128,443.0,59684.0,0,10,0,1487,46
129,59684.0,443.0,0,10,0,2595,566
130,34116.0,443.0,0,4,0,154,194
131,443.0,59684.0,0,4,0,453,0
132,59684.0,443.0,0,4,0,570,203
133,443.0,59684.0,0,18,0,2595,59732
134,59684.0,443.0,0,19,0,5030,59724
135,443.0,59684.0,0,7,0,842,50308
136,59684.0,443.0,0,7,0,1071,50316
137,59684.0,443.0,0,30,0,11298,30943
138,443.0,59684.0,0,30,0,5948,12064
139,59684.0,443.0,0,63,0,20443,28991
140,443.0,59684.0,0,65,0,13997,39961
141,5228.0,60776.0,0,2,0,53,0
142,60776.0,5228.0,0,2,0,53,0
143,53.0,24755.0,0,1,0,41,0
144,59684.0,443.0,0,169,0,1599,17941
145,443.0,59684.0,0,150,0,22199,26908
146,24755.0,53.0,0,1,0,57,0
147,443.0,44539.0,0,10,0,743,938
148,443.0,44540.0,0,12,0,1164,2733
149,44539.0,443.0,0,11,0,6282,762
150,44540.0,443.0,0,12,0,6111,2657
151,53.0,5833.0,0,1,0,46,0
152,53.0,18342.0,0,1,0,43,0
153,53.0,37451.0,0,1,0,39,0
154,53.0,27348.0,0,1,0,39,0
155,5833.0,53.0,0,1,0,62,0
156,443.0,37489.0,0,78,0,13506,3002
157,443.0,37492.0,0,9,0,359,660
158,37489.0,443.0,0,97,0,59956,2642
159,37492.0,443.0,0,8,0,4594,555
160,443.0,37493.0,0,9,0,359,672
161,443.0,37494.0,0,9,0,359,680
162,37493.0,443.0,0,8,0,4594,565
163,37494.0,443.0,0,8,0,4594,559
164,18342.0,53.0,0,1,0,59,0
165,443.0,53835.0,0,48,0,2648,3438
166,443.0,53836.0,0,37,0,2696,3455
167,53835.0,443.0,0,90,0,29757,2150
168,53836.0,443.0,0,70,0,10637,3137
