,0,1,2,3,4,5,6,7,8,9
0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,105.0,1.0,32.0,8.0,16.0,15.0,30.0,15.0,32.0
7,2.0,3.0,3.0,85.0,21.0,6.0,21.0,20.0,16.0,14.0
8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,5.0,4.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,54.0,13.0,37.0,48.0,11.0,50.0,37.0,37.0,22.0,57.0
14,8.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0
15,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0
19,6.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0
20,12.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8.0,1.0,6.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0
22,11.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,11.0,1.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
24,9.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
26,12.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
